iteration,use_selection,setting,mean_error,variance,dispersion,dispersion_ratio,swd_to_truth,mean_abs_scale,num_samples,run,seed
0,False,Replace,0.0,60.126378898667156,120.01979008564211,0.9870240054638554,0.07549897728942317,1.6984500783498746,,1,42
1,False,Replace,0.11644312804416301,59.863069725509476,120.04946421656926,0.9872680408812268,0.1268287186048056,1.6877939881329822,,1,42
2,False,Replace,0.19119011383767026,58.20849749278195,116.73156534428406,0.959982158842022,0.15792823725501173,1.6638758563395613,,1,42
3,False,Replace,0.2411834718714105,57.66558712795475,114.47612519788592,0.9414337713986399,0.16609241964950666,1.6539144961692585,,1,42
4,False,Replace,0.3987672726739715,55.25975816968068,111.60716590840092,0.9178398983598719,0.22813759956648733,1.61590379198081,,1,42
5,False,Replace,0.8853781180939225,54.896707772740356,107.52125663278167,0.8842380187339711,0.2950879182829886,1.6112215130131884,,1,42
6,False,Replace,1.3585786755678912,56.89986579752133,113.33040169649725,0.9320115202958195,0.3314692487519633,1.6416048081247472,,1,42
7,False,Replace,1.9239151491286983,57.53606938604314,113.59440879783217,0.9341826734568486,0.3689944854086573,1.6503257582766035,,1,42
8,False,Replace,2.650622424156812,51.41108624594172,103.51719498024015,0.8513092411749064,0.4554640797667908,1.5588275478697606,,1,42
9,False,Replace,2.6656307222512585,49.315333347586666,99.97846132069375,0.8222072483417003,0.5312723226874669,1.5262596884619366,,1,42
10,False,Replace,2.6123491359167312,48.996689005603855,96.52004358322029,0.7937657611055327,0.5254543261395402,1.5226117932227363,,1,42
11,False,Replace,2.13609501222127,50.745078035141916,102.13874497191354,0.8399730836330596,0.4044855797159381,1.5484712167169632,,1,42
12,False,Replace,2.405319165139283,49.84831618507782,98.86697347656646,0.8130665459362714,0.5384975988330891,1.538223707639454,,1,42
13,False,Replace,2.5306216750223998,47.68654230722297,95.77233760575876,0.7876167439454733,0.4956217068821029,1.5130035444440781,,1,42
14,False,Replace,2.5039414097226134,49.53932416701506,96.53945825000852,0.7939254242924487,0.49987893167742703,1.5371422613973453,,1,42
15,False,Replace,2.4182945348663845,49.768093098306174,99.15460966235341,0.8154320209967526,0.482048926067486,1.5356603089667422,,1,42
