iteration,use_selection,setting,mean_error,variance,dispersion,dispersion_ratio,swd_to_truth,component_weight_entropy,smallest_component_weight,component_mean_distance,num_samples,run,seed
0,False,Replace,0.29159999999986647,45.01193038501346,88.69067417308473,0.9747960304098583,0.06271594280864343,0.7219280948873623,0.2,1.799999999999587,,1,42
1,False,Replace,0.42051938931806454,43.32853547835769,88.06416518957252,0.9679100925608353,0.11686519935739625,0.7890745523907071,0.23644279109899494,2.38900887800025,,1,42
2,False,Replace,0.6230323635948095,44.04867521867781,87.59307244755652,0.9627323290681833,0.17512409536847257,0.8640231240724885,0.2863982929905349,1.7600207525343297,,1,42
3,False,Replace,0.35599834884104475,44.71386395347558,88.97531727075322,0.9779245325244021,0.12183708310069362,0.8651664895373726,0.2872684163261671,1.5172810309857996,,1,42
4,False,Replace,0.4045231972185004,44.41419124385563,88.73327966822475,0.9752643058844036,0.15444287851080732,0.8300300532223819,0.2621879163363633,1.9253742875219404,,1,42
5,False,Replace,0.6800782707515522,41.63942657227217,83.48331396373901,0.9175621204377891,0.2816192478239447,0.8062206228228165,0.2468334789853454,1.5214573952960242,,1,42
6,False,Replace,0.7761430351329502,43.09243662427558,86.57993890058641,0.9515970144585078,0.30093232944911563,0.8569278254059713,0.2810870927231315,1.9772051711394,,1,42
7,False,Replace,0.8682322897875006,44.85781545585667,89.16220849139125,0.9799786472517394,0.2870707787770304,0.8235453234767104,0.25788979739878726,2.2924383423388,,1,42
8,False,Replace,1.218461203994725,44.19696274983575,89.62049097488313,0.9850156136507368,0.35156013735690794,0.7893540503103895,0.23660811729089393,1.9935243284757305,,1,42
9,False,Replace,1.4882512930695797,44.32391322051765,89.76532063181672,0.9866074312344996,0.34093671421889266,0.8487492778570771,0.2751438450584171,2.120886777872292,,1,42
10,False,Replace,1.386687062091907,43.05970253805902,85.78924935019069,0.9429065738659813,0.34787488836038005,0.8503614692088846,0.27630092520862587,2.2451603945645964,,1,42
11,False,Replace,1.6366232208724727,42.63178684102987,85.75542561907301,0.9425348184459829,0.39894975236172214,0.7929449942628155,0.23874378789950004,2.258967672030625,,1,42
12,False,Replace,2.146113544275559,43.70642190155556,86.28022744336688,0.9483028965426173,0.44155591452939136,0.7817882846747122,0.23217772007528453,2.3100685048377256,,1,42
13,False,Replace,1.5644346316795756,45.12728559195599,90.17448607843136,0.9911045540364126,0.40525166007430724,0.8493487916352817,0.275573309770376,2.3652933919904005,,1,42
14,False,Replace,1.5046472637427382,47.14315603458853,93.81159483798474,1.0310798864379056,0.3526851312682371,0.8663901777347652,0.288204197637532,2.9070661557637614,,1,42
15,False,Replace,2.0776159621179096,44.281116117877836,90.80539031994469,0.9980388000090583,0.4346980303919068,0.8200199771559481,0.2555909984954821,2.9858069530865756,,1,42
16,False,Replace,2.0747368043541283,44.02240543918951,87.27994030885156,0.9592907049216846,0.4301378987528686,0.8098578238983304,0.24910583237967904,3.2242987306483486,,1,42
17,False,Replace,2.7429523684722636,42.951511866389836,84.72900854771923,0.931253505094503,0.4572418762444127,0.7893489833098477,0.23660511895262118,3.9018475828494776,,1,42
18,False,Replace,2.4313378840871462,42.233049521548736,84.15286428869396,0.9249211241324954,0.4290517405076033,0.8313860884691107,0.26309845969968365,3.883263639593023,,1,42
19,False,Replace,2.906102351800609,43.859028182577354,87.09901783258245,0.9573021924504085,0.4633073796591606,0.8726806687880976,0.2930909809770376,3.9796339420242726,,1,42
20,False,Replace,2.831250757665535,43.445362490860916,87.9387600231835,0.9665317688584996,0.4376055059068812,0.8687050426970843,0.28998745663723413,4.015726850394749,,1,42
21,False,Replace,3.202166937128714,44.08064062962818,88.81182579731356,0.976127603582315,0.506369756900815,0.8265991439852691,0.259902457586927,4.504912257261259,,1,42
22,False,Replace,2.3253865079328877,43.57976788712804,85.98656112906932,0.9450752205765547,0.39663802044220997,0.8165573356930831,0.25335810273181286,4.510054983191971,,1,42
23,False,Replace,1.9781716470169821,42.2260270314606,84.15442728601626,0.9249383029802098,0.41259141219839,0.8508512182306815,0.2766538016281049,3.9715907688517165,,1,42
24,False,Replace,1.832656381693769,42.862243646276156,85.72790702822287,0.9422323625973461,0.42249144996657373,0.8729616644624394,0.29331234105163784,3.729072404330168,,1,42
25,False,Replace,1.441344848820409,42.96823974754214,85.07421616121155,0.9350476696381489,0.3660648580374437,0.8366401674827394,0.26666627304914536,3.9061280256536026,,1,42
26,False,Replace,1.2883106486411322,45.226520104503365,88.83086477486893,0.9763368603042542,0.3857964226905519,0.8317347891113243,0.26333327564744446,4.418992664346225,,1,42
27,False,Replace,1.1439264117599326,43.71266803998489,87.11638487043291,0.9574930729427991,0.34276742774467994,0.8414646002566876,0.2699999749456008,3.6609494088918115,,1,42
28,False,Replace,1.356594122226602,43.32054400939681,87.28202194424196,0.9593135841018716,0.40111557870407344,0.8414542710001603,0.2699927766747606,3.880485357191788,,1,42
29,False,Replace,1.8656583374366467,41.728338303695836,83.91802534439066,0.9223400176878003,0.4465711362809881,0.8729882932941337,0.29333333240560544,4.0562469001350605,,1,42
30,False,Replace,2.679058008772566,42.716951671049806,85.1267688826446,0.9356252747214093,0.5289625677181771,0.9007196795903093,0.3166666664214935,4.278324184760924,,1,42
31,False,Replace,2.8787870936925617,43.849788363171314,87.30020684627915,0.9595134537103115,0.5406728125640738,0.9149263664729751,0.3299999938271677,4.181510641666191,,1,42
32,False,Replace,1.918908028898852,45.557380824719665,89.92136472202029,0.9883225062535765,0.4723967104865021,0.9426831892265872,0.35999999996517784,4.129373116939443,,1,42
33,False,Replace,1.8885505136604352,47.83072705498474,96.37068916439637,1.0592068007283766,0.5404347132943689,0.9709505941465901,0.39999999947333625,3.9644720085874843,,1,42
34,False,Replace,2.069687096663332,53.69767300174707,108.93329871679146,1.1972819933846528,0.5319603934700838,0.9747170041745638,0.40666666665624307,3.8131809593971946,,1,42
35,False,Replace,2.2931107493393506,50.162879645049486,100.67686681986437,1.1065358454551977,0.5395617308064341,0.953197172539853,0.3733333333290469,3.834702280070637,,1,42
